 53. BusinessTravel=Travel_Rarely DistanceFromHome=1_10 OverTime=No WorkLifeBalance=3 330 ==> Attrition=No 306    conf:(0.93)
 54. BusinessTravel=Travel_Rarely OverTime=No WorkLifeBalance=3 YearsSinceLastPromotion=0_5 396 ==> Attrition=No 367    conf:(0.93)
 55. MaritalStatus=Married MonthlyIncome=min_7339 OverTime=No 341 ==> Attrition=No 316    conf:(0.93)
 56. BusinessTravel=Travel_Rarely OverTime=No WorkLifeBalance=3 YearsAtCompany=0_13 YearsSinceLastPromotion=0_5 366 ==> Attrition=No 339    conf:(0.93)
 57. BusinessTravel=Travel_Rarely OverTime=No WorkLifeBalance=3 460 ==> Attrition=No 426    conf:(0.93)
 58. MaritalStatus=Married OverTime=No YearsSinceLastPromotion=0_5 403 ==> Attrition=No 373    conf:(0.93)
 59. OverTime=No YearsWithCurrManager=6_11 347 ==> Attrition=No 321    conf:(0.93)
 60. JobLevel=2 NumCompaniesWorked=0_3 359 ==> Attrition=No 332    conf:(0.92)
 61. MaritalStatus=Married OverTime=No YearsAtCompany=0_13 YearsSinceLastPromotion=0_5 371 ==> Attrition=No 343    conf:(0.92)
 62. BusinessTravel=Travel_Rarely DistanceFromHome=1_10 NumCompaniesWorked=0_3 OverTime=No 357 ==> Attrition=No 330    conf:(0.92)
 63. DistanceFromHome=1_10 JobLevel=2 YearsAtCompany=0_13 330 ==> Attrition=No 305    conf:(0.92)
 64. JobInvolvement=3 OverTime=No WorkLifeBalance=3 369 ==> Attrition=No 341    conf:(0.92)
 65. ï»¿Age=33_46 Department=Research & Development PerformanceRating=3 YearsSinceLastPromotion=0_5 329 ==> Attrition=No 304    conf:(0.92)
 66. BusinessTravel=Travel_Rarely MonthlyIncome=min_7339 OverTime=No WorkLifeBalance=3 329 ==> Attrition=No 304    conf:(0.92)
 67. MaritalStatus=Married MonthlyIncome=min_7339 OverTime=No YearsAtCompany=0_13 326 ==> Attrition=No 301    conf:(0.92)
 68. BusinessTravel=Travel_Rarely OverTime=No PerformanceRating=3 WorkLifeBalance=3 YearsAtCompany=0_13 339 ==> Attrition=No 313    conf:(0.92)
 69. BusinessTravel=Travel_Rarely Department=Research & Development OverTime=No PerformanceRating=3 YearsSinceLastPromotion=0_5 363 ==> Attrition=No 335    conf:(0.92)
